ATK-terminaal	ATK-terminaal+N+Sg+Nom
pippârtatti	pippâr+N+Cmp/SgNom+Cmp#tatti+N+Sg+Nom
pippârtatti	pippârtatti+N+Sg+Nom





pokkâ-suomâ	pokkâ+N+Cmp/SgNom+Cmp/Hyph+Cmp#suomâ+N+Sg+Nom
pokkâ-suomâ	pokkâ+N+Cmp/SgNom+Cmp/Hyph+Cmp#suomâ+N+Cmp/SgNom+Attr+Err/Orth

poorástivrejeijee	poorá+N+Cmp/SgGen+Cmp#stivrejeijee+N+NomAg+Sg+Nom
poorástivrejeijee	poorá+N+Cmp/SgGen+Cmp#stivriđ+V+Der/NomAg+N+Sg+Nom
poorástivrejeijee	poorá+N+Cmp/SgNom+Cmp#stivrejeijee+N+NomAg+Sg+Nom
